i=0 isite1=1 isite2=2 tmp_V=-0.250000 
i=1 isite1=2 isite2=3 tmp_V=-0.250000 
i=2 isite1=3 isite2=4 tmp_V=-0.250000 
i=3 isite1=4 isite2=5 tmp_V=-0.250000 
i=4 isite1=5 isite2=6 tmp_V=-0.250000 
i=5 isite1=6 isite2=7 tmp_V=-0.250000 
i=6 isite1=7 isite2=8 tmp_V=-0.250000 
i=7 isite1=8 isite2=9 tmp_V=-0.250000 
i=8 isite1=9 isite2=10 tmp_V=-0.250000 
i=9 isite1=10 isite2=11 tmp_V=-0.250000 
i=10 isite1=11 isite2=12 tmp_V=-0.250000 
i=11 isite1=12 isite2=13 tmp_V=-0.250000 
i=12 isite1=13 isite2=14 tmp_V=-0.250000 
i=13 isite1=14 isite2=15 tmp_V=-0.250000 
i=14 isite1=15 isite2=16 tmp_V=-0.250000 
i=15 isite1=16 isite2=17 tmp_V=-0.250000 
i=16 isite1=17 isite2=18 tmp_V=-0.250000 
i=17 isite1=18 isite2=19 tmp_V=-0.250000 
i=18 isite1=19 isite2=20 tmp_V=-0.250000 
i=19 isite1=20 isite2=21 tmp_V=-0.250000 
i=20 isite1=21 isite2=22 tmp_V=-0.250000 
i=21 isite1=22 isite2=1 tmp_V=-0.250000 
